PooledFundId,AllocationYear,ReportApprovedDate,AllocationtypeId,AllocationSourceId,OrganizationType,NumbofProjects,TotalNumbPartners,Budget,TargetedMen,TargetedWomen,TargetedBoys,TargetedGirls,ReachedMen,ReachedWomen,ReachedBoys,ReachedGirls,DisabledMen,DisabledWomen,DisabledBoys,DisabledGirls,ReachedDisabledMen,ReachedDisabledWomen,ReachedDisabledBoys,ReachedDisabledGirls
1,2018,2019-11-14,2923,2,3,1,1.0,874414.73,,,4472.0,5249.0,,,5461.0,6411.0,,,,,,,,
1,2018,2019-11-17,2923,2,1,1,1.0,309424.1,53.0,24285.0,22480.0,26389.0,28.0,35098.0,60547.0,58717.0,,,,,,,,
1,2018,2019-11-17,3323,1,1,1,1.0,334312.08,17052.0,19204.0,5236.0,5467.0,11360.0,25368.0,12186.0,12076.0,,,,,,,,
1,2018,2019-11-29,2923,2,1,1,1.0,561249.24,1808.0,1808.0,2392.0,2392.0,1562.0,1763.0,3288.0,3336.0,,,,,13.0,8.0,14.0,2.0
1,2018,2019-11-30,3023,1,1,1,1.0,500000.3,3412.0,2594.0,3958.0,3686.0,2660.0,2022.0,3086.0,2874.0,,,,,,,,
1,2018,2019-12-01,3223,1,1,1,1.0,502153.78,6601.0,5017.0,7657.0,7129.0,5770.0,4386.0,6693.0,6231.0,,,,,,,,
1,2018,2019-12-04,2923,2,1,1,1.0,244030.66,,3600.0,6247.0,6333.0,,17941.0,7662.0,9202.0,,,,,,,,
1,2018,2019-12-10,2923,2,2,2,2.0,757458.08,13598.0,24446.0,14612.0,17466.0,12722.0,22964.0,13428.0,16921.0,,,,,7.0,5.0,11.0,4.0
1,2018,2019-12-17,2923,2,1,1,1.0,302430.15,2640.0,3520.0,3720.0,2920.0,4757.0,5614.0,5466.0,3606.0,,,,,,,,
1,2018,2019-12-24,3323,1,2,1,1.0,327656.67,5500.0,16189.0,6267.0,7044.0,9485.0,9457.0,9068.0,8665.0,,,,,45.0,72.0,12.0,9.0
1,2018,2020-01-21,2923,2,1,1,1.0,449976.28,5911.0,5939.0,8280.0,8423.0,5911.0,5939.0,8280.0,8423.0,,,,,,,,
1,2018,2020-01-22,3123,1,1,1,1.0,1500000.15,15570.0,15854.0,21776.0,23030.0,16969.0,17031.0,25733.0,25319.0,,,,,,,,
1,2018,2020-01-23,3223,1,1,1,1.0,315264.64,2171.0,2181.0,3040.0,3094.0,2171.0,2181.0,3040.0,3094.0,,,,,,,,
1,2018,2020-01-24,3223,1,1,1,1.0,422977.42,4847.0,5876.0,3713.0,4807.0,4847.0,5876.0,3713.0,4807.0,,,,,,,,
1,2018,2020-01-31,2923,2,2,2,2.0,1166692.72,29344.0,30405.0,18830.0,19686.0,44586.0,61986.0,24164.0,24034.0,,,,,,,,
1,2018,2020-12-26,2923,2,1,1,1.0,501000.77,2575.0,2425.0,600.0,600.0,3190.0,3055.0,1119.0,944.0,,,,,,,,
1,2018,2020-12-27,3223,1,1,1,1.0,250000.0,22760.0,27020.0,37480.0,34340.0,17721.0,20056.0,22056.0,20185.0,,,,,,,,
1,2018,2020-12-29,3323,1,2,1,1.0,1499990.2,19354.0,17542.0,28887.0,29555.0,33765.0,35150.0,27940.0,28445.0,,,,,,,,
