PooledFundId,AllocationYear,ReportApprovedDate,AllocationtypeId,AllocationSourceId,ClusterId,ClusterBudget,TargetedMen,TargetedWomen,TargetedBoys,TargetedGirls,ReachedMen,ReachedWomen,ReachedBoys,ReachedGirls
1,2018,2019-11-04,2823,1,12.0,836832.42,12640.0,3200.0,80.0,80.0,18170.0,3081.0,2152.0,777.0
1,2018,2019-11-04,3023,1,7.0,204536.96,9183.0,8817.0,2296.0,2204.0,16180.0,30585.0,8581.0,8777.0
1,2018,2019-11-04,3223,1,4.0,236088.76,2140.0,2228.0,437.0,655.0,1471.0,1532.0,1228.0,1229.0
1,2018,2019-11-05,2923,2,10.0,164086.64,3150.0,2394.0,3654.0,3402.0,3728.0,2556.0,3616.0,2740.0
1,2018,2019-11-05,3323,1,7.0,270000.01,5834.0,4453.0,4660.0,3728.0,7122.0,5512.0,5742.0,4594.0
1,2018,2019-11-05,3323,1,9.0,1009443.17,,,4665.0,5702.0,,,5125.0,6017.0
1,2018,2019-11-06,2623,2,7.0,257720.508,1645.0,10990.0,16339.0,18226.0,4872.0,19662.0,25767.0,24014.0
1,2018,2019-11-06,2623,2,9.0,219539.692,1402.0,9361.0,13918.0,15526.0,4150.0,16749.0,21950.0,20457.0
1,2018,2019-11-06,2923,2,6.0,369429.88,1546.0,1546.0,3093.0,2406.0,2312.0,2439.0,5698.0,4130.0
1,2018,2019-11-06,2923,2,9.0,823000.0,,2674.0,5130.0,5339.0,2.0,4528.0,6144.0,6260.0
1,2018,2019-11-06,3223,1,4.0,9716033.33,31745.0,33863.0,48685.0,44453.0,19224.0,15719.0,31109.0,34196.0
1,2018,2019-11-06,3323,1,7.0,234000.0,5400.0,8370.0,6345.0,6885.0,6481.0,19625.0,7008.0,8434.0
1,2018,2019-11-06,3323,1,9.0,286000.0,6600.0,10230.0,7755.0,8415.0,7922.0,23987.0,8566.0,10309.0
1,2018,2019-11-07,2923,2,9.0,200616.318,4026.0,6343.0,6133.0,6384.0,4445.0,10108.0,15698.0,17650.0
1,2018,2019-11-07,2923,2,10.0,133744.212,2684.0,4228.0,4089.0,4256.0,2964.0,6738.0,10466.0,11767.0
1,2018,2019-11-07,3323,1,7.0,83949.689,3228.0,9959.0,1984.0,2163.0,1307.0,8616.0,4220.0,4226.0
1,2018,2019-11-07,3323,1,9.0,162961.161,6266.0,19331.0,3852.0,4198.0,2536.0,16725.0,8192.0,8204.0
1,2018,2019-11-08,2623,2,7.0,1325863.6431,95115.0,87601.0,30639.0,30234.0,107873.0,119779.0,71221.0,59848.0
1,2018,2019-11-08,2623,2,9.0,78740.9478,1751.0,1405.0,1948.0,1951.0,1806.0,7304.0,6664.0,6251.0
1,2018,2019-11-08,2623,2,10.0,161856.3927,3599.0,2888.0,4005.0,4010.0,3712.0,15013.0,13699.0,12848.0
