Year,ApplicationCode,WindowID,EmergencyTypeID,EmergencyGroupID,AgencyID,Budget,FirstProjectApprovedDate,LastProjectApprovedDate,CountryID
2007,07-RR-AFG-29,3,27,6,2,323212.0000,2007-10-03,2007-10-03,1
2007,07-RR-BOL-420,3,6,3,5;1;6;4;2;3,2000000.0000,2007-03-06,2007-03-08,10
2007,07-RR-PER-9532,3,1,3,5;7;1;14;6;4;2;3,9591713.0000,2007-08-22,2007-08-22,77
2007,07-RR-MEX-7582,3,6,3,7;6;4;3,1693550.0000,2007-11-20,2007-11-20,64
2007,07-RR-COL-2764,3,27,6,7;4;2,2253044.0000,2007-08-03,2007-08-03,22
2007,08-RR-COL-2780,3,6,3,7;4;2,1838333.0000,2008-01-09,2008-01-09,22
2007,07-RR-NIC-8323,3,5,3,1;4;2;3,4975500.0000,2007-09-24,2007-10-24,70
2007,07-RR-TJK-11703,3,13,3,5,119814.0000,2007-06-06,2007-06-06,92
2007,07-RR-PRK-6552,3,10,2,4,3100000.0000,2007-02-28,2007-02-28,26
2007,07-UF-PRK-6555,4,27,6,5;6;4;2,4998577.0000,2007-03-20,2007-03-20,26
2007,07-RR-PRK-6567,3,6,3,5;6;4;2;3,3000000.0000,2007-09-20,2007-09-20,26
2007,07-UF-BGD-294,4,16,1,11,1000000.0000,2007-03-05,2007-03-05,7
2007,07-RR-BGD-297,3,5,3,5;1;6;4;2;3,6054793.0000,2007-08-30,2007-09-04,7
2007,07-RR-BGD-323,3,5,3,5;1;6;4;2;3,19692303.0000,2007-11-19,2007-12-18,7
2007,07-RR-DOM-4780,3,5,3,5;1;6;4;2;3,3105354.0000,2007-11-09,2007-11-19,30
2007,07-RR-DOM-13362,3,5,3,1;4;2,774539.0000,2007-12-28,2007-12-28,30
2007,07-UF-HTI-5795,4,27,6,7;4;2;3,2000545.0000,2007-03-21,2007-05-16,45
2007,07-UF-HTI-5803,4,27,6,4;2;3,1276060.0000,2007-09-28,2007-10-01,45
2007,07-RR-HTI-5813,3,6,3,5;7,591817.0000,2007-09-21,2007-10-21,45
2007,07-RR-GIN-5683,3,19,1,4;2;3,2707328.0000,2007-02-14,2007-02-21,43
2007,07-RR-GIN-5689,3,19,1,5;4;2;3,7062031.0000,2007-03-08,2007-04-10,43
2007,07-RR-GIN-5697,3,12,2,5;4;3,1051955.0000,2007-10-22,2007-10-22,43
2007,07-UF-MRT-7329,4,27,6,5;4;2,854731.0000,2007-09-12,2007-12-03,63
2007,07-RR-MRT-7338,3,16,1,11;2,846889.0000,2007-10-09,2007-11-09,63
2007,07-RR-MLI-7117,3,5,3,4;2,1017103.0000,2007-09-25,2007-09-25,61
2007,07-RR-CIV-12790,3,19,1,3,1677450.0000,2007-03-01,2007-03-01,24
2007,07-RR-BFA-589,3,12,2,4;3,1796080.0000,2007-04-11,2007-04-12,13
2007,07-UF-BFA-594,4,8,3,5;4;2,877908.0000,2007-08-31,2007-09-14,13
2007,07-UF-CIV-4126,4,19,1,7;1;6;4;2,4499303.0000,2007-02-13,2007-03-20,24
2007,07-UF-CIV-4142,4,27,6,5;7;1;4;2;3,2318107.0000,2007-09-21,2007-10-25,24
2007,07-UF-NER-8394,4,27,6,4;2,2000023.0000,2007-09-28,2007-09-28,71
2007,07-RR-LBR-12958,3,19,1,5,2199555.0000,2007-02-22,2007-02-22,57
2007,07-UF-LBR-12961,4,27,6,6;4;3,1461597.0000,2007-09-12,2007-10-10,57
2007,07-RR-SEN-10557,3,16,1,11,348285.0000,2007-12-14,2007-12-14,83
2007,07-RR-GHA-5535,3,5,3,5;6;4;2,2496956.0000,2007-09-26,2007-10-26,40
2007,07-RR-LSO-6541,3,27,6,5;4;2,3834015.0000,2007-07-25,2007-07-25,56
2007,07-RR-SWZ-11284,3,27,6,5;2,3136815.0000,2007-06-29,2007-07-02,90
2007,07-RR-TGO-11769,3,12,2,4;2,2366372.0000,2007-07-03,2007-07-03,94
2007,07-RR-TGO-11775,3,6,3,5;4;2,1436560.0000,2007-10-01,2007-10-01,94
2007,07-RR-SDN-13738,3,5,3,2;3,1159499.0000,2007-08-14,2007-08-14,80
2007,07-RR-SDN-13743,3,27,6,4,4857158.0000,2007-08-16,2007-08-16,80
2007,07-UF-NAM-8161,4,16,1,11;2,999999.0000,2007-03-01,2007-03-05,68
2007,07-RR-LSO-13466,3,8,3,6;3,908055.0000,2007-08-21,2007-08-22,56
2007,07-UF-SDN-10053,4,27,6,4;2;3,6000000.0000,2007-02-27,2007-04-19,80
2007,07-RR-SDN-10072,3,16,1,2,3000000.0000,2007-05-01,2007-05-01,80
2007,07-RR-SDN-10075,3,19,1,1,1575000.0000,2007-06-18,2007-06-18,80
2007,07-RR-SDN-10078,3,5,3,5;6;4,2663285.0000,2007-08-07,2007-08-07,80
2007,07-RR-SDN-10089,3,27,6,5;11;3,6220091.0000,2007-12-10,2007-12-14,80
2007,07-RR-TCD-1791,3,16,1,5;1;6;11;4;2;3,7280842.0000,2007-02-21,2007-03-20,19
2007,07-UF-TCD-1818,4,16,1,5;9;4,979050.0000,2007-09-06,2007-09-06,19
2007,07-UF-AGO-270,4,6,3,7;6;11;4;2;3,4499828.0000,2007-03-08,2007-03-19,3
2007,07-UF-CAF-1115,4,16,1,1;6;11;4;2;3,4478703.0000,2007-03-02,2007-03-26,18
2007,07-UF-CAF-1185,4,16,1,1;6;11;4;2;3,2300019.0000,2007-09-10,2007-10-03,18
2007,07-RR-AGO-211,3,9,2,4;3,3216435.0000,2007-03-05,2007-03-06,3
2007,07-UF-COD-3723,4,16,1,5;6;11;4;2;3,36587128.0000,2007-02-23,2007-05-15,27
2007,07-UF-COD-3754,4,19,1,6;11;4;3,10919450.0000,2007-09-11,2007-11-09,27
2007,07-RR-COD-3770,3,16,1,11;4;2,5000000.0000,2007-10-15,2007-10-15,27
2007,07-RR-COG-3265,3,9,2,4;3,881701.0000,2007-03-07,2007-03-07,79
2007,07-UF-COG-3275,4,19,1,5;1;6;11;3,1099971.0000,2007-09-05,2007-10-03,79
2007,07-RR-UGA-11917,3,27,6,2,7000000.0000,2007-04-11,2007-04-11,97
2007,07-RR-UGA-11920,3,5,3,5;11;4;2;3,6001015.0000,2007-10-04,2007-10-05,97
2007,07-UF-ZWE-12520,4,27,6,7;4,2000000.0000,2007-02-23,2007-03-01,107
2007,07-UF-ZWE-12525,4,27,6,5;7;6;4;3,1999076.0000,2007-09-07,2007-11-27,107
2007,07-RR-ZWE-12540,3,27,6,2,8000000.0000,2007-09-25,2007-09-25,107
2007,07-RR-TZA-11734,3,14,2,5;4;3,1200061.0000,2007-04-25,2007-04-25,99
2007,07-RR-SOM-13840,3,12,2,3,1700765.0000,2007-07-23,2007-07-23,87
2007,07-RR-SOM-13847,3,27,6,1,1091400.0000,2007-07-05,2007-07-05,87
2007,07-RR-RWA-10462,3,5,3,5;11;2,416325.0000,2007-11-15,2007-11-16,81
2007,07-UF-SOM-10632,4,22,5,1,1000000.0000,2007-02-23,2007-02-23,87
2007,07-RR-SOM-10634,3,27,6,2,2591540.0000,2007-02-22,2007-02-22,87
2007,07-RR-SOM-10636,3,16,1,11;4;2,5655743.0000,2007-05-15,2007-05-17,87
2007,07-RR-SOM-10643,3,27,6,4;2,3625327.0000,2007-10-17,2007-10-17,87
2007,07-RR-MDG-6860,3,5,3,5;6;4;3,1230903.0000,2007-04-11,2007-04-25,59
2007,07-RR-MOZ-7613,3,6,3,5;7;1;6;4;2;3,10762981.0000,2007-02-21,2007-03-22,66
2007,07-RR-MOZ-7639,3,5,3,2,1070014.0000,2007-12-13,2007-12-13,66
2007,07-RR-MOZ-13521,3,6,3,2,400000.0000,2007-04-13,2007-04-13,66
2007,07-RR-MDG-13072,3,5,3,5;4;2,2200650.0000,2007-05-14,2007-05-18,59
2007,07-RR-KEN-6303,3,12,2,5;3,1944057.0000,2007-01-15,2007-01-15,52
2007,07-UF-KEN-6310,4,27,6,6;11;4;2;3,3002501.0000,2007-09-17,2007-10-23,52
2007,07-UF-ETH-5114,4,12,2,1;11;4;2;3,5999353.0000,2007-03-20,2007-06-08,36
2007,07-RR-ETH-5128,3,16,1,11,1100730.0000,2007-06-12,2007-06-12,36
2007,07-UF-ETH-5132,4,27,6,9;6;4;2;3,2998763.0000,2007-09-19,2007-10-25,36
2007,07-RR-ETH-5144,3,27,6,6;2;3,2266813.0000,2007-11-23,2007-12-27,36
2007,07-UF-ERI-4921,4,12,2,1;11;4;3,2000000.0000,2007-03-08,2007-03-21,35
2007,07-UF-ERI-4937,4,27,6,1;11;4;3,1000909.0000,2007-09-19,2007-09-28,35
2007,07-RR-DJI-13357,3,8,3,5;4;2;3,1575570.0000,2007-05-15,2007-05-15,28
2007,07-UF-BDI-712,4,27,6,5;4;2,8500000.0000,2007-02-23,2007-02-23,14
2008,08-RR-BDI-717,3,8,3,5;4,1600013.0000,2008-08-22,2008-08-22,14
2008,08-UF-BDI-722,4,16,1,5;6;11;4;2;3,3587934.0000,2008-09-24,2008-10-09,14
2008,08-RR-COM-3136,3,19,1,6;4;3,534037.0000,2008-04-17,2008-04-17,23
2008,08-RR-DJI-4536,3,8,3,5;4;2;3,2579639.0000,2008-02-29,2008-03-03,28
2008,08-RR-DJI-4546,3,8,3,5;1;11;4;2;3,3001028.0000,2008-09-22,2008-09-22,28
2008,08-RR-ERI-4947,3,16,1,1,996245.0000,2008-04-07,2008-04-07,35
2008,08-RR-ERI-4949,3,8,3,5;11;3,1999997.0000,2008-08-27,2008-08-27,35
2008,08-UF-ETH-5154,4,27,6,5;6;11;4;2;3,9651153.0000,2008-03-20,2008-04-22,36
2008,08-RR-ETH-5172,3,8,3,6;4;2;3,19999594.0000,2008-07-03,2008-08-13,36
2008,08-RR-KEN-6325,3,19,1,7;6;11;4;2;3,7022854.0000,2008-01-10,2008-01-10,52
2008,08-RR-KEN-6343,3,16,1,7;6;11;4;2;3,2971999.0000,2008-08-05,2008-09-02,52
2008,08-RR-KEN-6358,3,16,1,11;4;2,4987817.0000,2008-12-31,2009-01-07,52
2008,08-RR-MDG-13080,3,6,3,5;6;4;2;3,4625583.0000,2008-03-07,2008-03-10,59
2008,08-RR-MDG-13099,3,12,2,5;3,376186.0000,2008-06-18,2008-06-18,59
2008,08-RR-MDG-13104,3,8,3,5;4;2;3,1489031.0000,2008-09-05,2008-09-05,59
2008,08-UF-KEN-12794,4,16,1,5;11;4;2;3,6406348.0000,2008-03-10,2008-04-15,52
2008,08-RR-ETH-13372,3,16,1,11;2,1877293.0000,2008-08-15,2008-09-05,36
2008,08-RR-MOZ-7642,3,6,3,7;19;6;4;2;3,4290247.0000,2008-01-28,2008-02-11,66
2008,08-RR-MOZ-7661,3,5,3,2,548913.0000,2008-03-20,2008-03-20,66
2008,08-RR-KEN-13435,3,8,3,5;4;2;3,5052061.0000,2008-08-26,2008-09-12,52
2008,08-RR-SOM-10650,3,8,3,5;1;4,6039251.0000,2008-06-18,2008-06-18,87
2008,08-RR-SOM-10661,3,27,6,2,2710392.0000,2008-07-22,2008-07-22,87
2008,08-RR-SOM-10664,3,22,5,2,2972300.0000,2008-10-13,2008-10-13,87
2008,08-RR-TZA-11742,3,8,3,5,499958.0000,2008-10-21,2008-10-21,99
2008,08-UF-ZWE-12543,4,27,6,7;6;11;4;2;3,4245670.0000,2008-03-07,2008-05-21,107
2008,08-UF-ZWE-12562,4,27,6,4,247987.0000,2008-03-26,2008-03-26,107
2008,08-RR-ZWE-12565,3,8,3,7;11;4;2,1988368.0000,2008-09-12,2008-10-24,107
2008,08-RR-UGA-11935,3,16,1,11,698978.0000,2008-07-28,2008-07-28,97
2008,08-RR-UGA-11938,3,8,3,5;4;2;3,4982951.0000,2008-08-14,2008-08-20,97
2008,08-RR-ZWE-12866,3,8,3,2,5000107.0000,2008-11-25,2008-11-25,107
2008,08-UF-COG-3308,4,19,1,5;6;11;4;2;3,2011654.0000,2008-03-26,2008-04-04,79
2008,08-UF-CMR-895,4,16,1,11;4;2,2000006.0000,2008-02-27,2008-02-27,16
2008,08-RR-CMR-903,3,16,1,1;6;11;4;2;3,4720260.0000,2008-02-21,2008-02-21,16
2008,08-UF-COD-3777,4,16,1,5;1;6;11;4;2;3,38106996.0000,2008-03-19,2008-05-29,27
2008,08-RR-COD-3814,3,8,3,2,3000022.0000,2008-09-03,2008-09-03,27
2008,08-RR-AGO-217,3,6,3,7;4;3,1498653.0000,2008-04-22,2008-04-22,3
2008,08-RR-CAF-1238,3,16,1,2,999983.0000,2008-02-19,2008-02-19,18
2008,08-RR-CAF-1243,3,16,1,1;6;11;4;3,2387031.0000,2008-05-27,2008-06-13,18
2008,08-RR-TCD-1828,3,16,1,11;4;2,4353540.0000,2008-05-08,2008-05-08,19
2008,08-RR-TCD-1849,3,16,1,11,1154007.0000,2008-08-05,2008-08-05,19
2008,08-UF-TCD-1852,4,16,1,5;1;6;11;4;2;3,6766433.0000,2008-10-09,2008-11-10,19
2008,08-RR-SDN-10097,3,19,1,2,7093062.0000,2008-05-08,2008-05-08,80
2008,08-RR-SDN-10102,3,19,1,4;2;3,2868336.0000,2008-04-17,2008-04-17,80
2008,08-RR-SDN-10113,3,19,1,7;4;2;3,5053117.0000,2008-06-25,2008-06-30,80
2008,08-RR-SDN-10127,3,19,1,11,1010739.0000,2008-10-07,2008-10-07,80
2008,08-RR-LSO-12895,3,8,3,5;6;3,1656382.0000,2008-08-19,2008-08-20,56
2008,08-RR-TGO-11784,3,8,3,5;4;2,2074049.0000,2008-08-27,2008-09-03,94
