Year,ApplicationCode,EmergencyGroupID,EmergencyTypeID,Budget,WindowID,FirstProjectApprovedDate,LastProjectApprovedDate,CountryID
2007,07-RR-COL-2764,3,5,791693.0,3,2007-08-03,2007-08-03,22
2007,07-RR-DJI-13357,3,8,1575570.0,3,2007-05-15,2007-05-15,28
2007,07-RR-DOM-13362,3,5,774539.0,3,2007-12-28,2007-12-28,30
2007,07-RR-DOM-4780,3,5,3105354.0,3,2007-11-09,2007-11-19,30
2007,07-RR-ETH-5128,1,16,1100730.0,3,2007-06-12,2007-06-12,36
2007,07-RR-ETH-5144,6,27,2266813.0,3,2007-11-23,2007-12-27,36
2007,07-RR-GEO-5516,3,7,161599.0,3,2007-11-06,2007-11-06,39
2007,07-RR-GHA-5535,3,5,2496956.0,3,2007-09-26,2007-10-26,40
2007,07-RR-GIN-5683,1,19,2707327.61,3,2007-02-14,2007-02-21,43
2007,07-RR-GIN-5689,1,19,7062031.0,3,2007-03-08,2007-04-10,43
2007,07-RR-GIN-5697,2,12,689080.0,3,2007-10-22,2007-10-22,43
2007,07-RR-GIN-5697,3,5,362875.0,3,2007-10-22,2007-10-22,43
2007,07-RR-HTI-5813,3,6,129577.0,3,2007-09-21,2007-10-21,45
2007,07-RR-HTI-5813,3,5,462240.0,3,2007-09-21,2007-10-21,45
2007,07-RR-IDN-13425,3,6,1255042.44,3,2007-02-13,2007-03-16,48
2007,07-RR-IRQ-6064,1,16,3533359.0,3,2007-04-02,2007-04-02,49
2007,07-RR-KEN-6303,2,12,1944057.32,3,2007-01-15,2007-01-15,52
2007,07-RR-LBN-6964,1,16,5676248.0,3,2007-06-12,2007-06-12,55
2007,07-RR-LBR-12958,1,19,2199555.0,3,2007-02-22,2007-02-22,57
2007,07-RR-LKA-11003,1,19,209955.0,3,2007-02-23,2007-02-23,89
2007,07-RR-LKA-13894,1,16,7732967.5,3,2007-03-22,2007-03-27,89
2007,07-RR-LKA-13900,1,16,1002210.0,3,2007-04-05,2007-04-05,89
2007,07-RR-LKA-13903,1,16,1382952.0,3,2007-08-23,2007-08-23,89
2007,07-RR-LKA-13903,6,27,560000.0,3,2007-08-23,2007-08-23,89
2007,07-RR-LSO-13466,3,8,908055.0,3,2007-08-21,2007-08-22,56
2007,07-RR-LSO-6541,6,27,3834014.87,3,2007-07-25,2007-07-25,56
2007,07-RR-MDG-13072,3,5,2200650.0,3,2007-05-14,2007-05-18,59
2007,07-RR-MDG-6860,3,5,1230903.0,3,2007-04-11,2007-04-25,59
2007,07-RR-MEX-7582,6,27,846690.0,3,2007-11-20,2007-11-20,64
2007,07-RR-MEX-7582,3,5,846860.0,3,2007-11-20,2007-11-20,64
2007,07-RR-MLI-7117,3,5,1017103.0,3,2007-09-25,2007-09-25,61
2007,07-RR-MOZ-13521,3,6,400000.0,3,2007-04-13,2007-04-13,66
2007,07-RR-MOZ-7613,3,6,10762981.05,3,2007-02-21,2007-03-22,66
2007,07-RR-MOZ-7639,3,5,1070014.0,3,2007-12-13,2007-12-13,66
2007,07-RR-MRT-7338,1,16,653235.0,3,2007-10-09,2007-11-09,63
2007,07-RR-MRT-7338,3,8,193654.0,3,2007-10-09,2007-11-09,63
2007,07-RR-NIC-8323,3,5,4975500.0,3,2007-09-24,2007-10-24,70
2007,07-RR-NPL-8215,6,27,1000000.0,3,2007-12-07,2007-12-07,69
2007,07-RR-PAK-13623,6,27,100000.0,3,2007-08-27,2007-08-27,74
2007,07-RR-PAK-13627,3,6,1408851.0,3,2007-09-11,2007-09-11,74
2007,07-RR-PAK-8725,6,27,99510.0,3,2007-07-11,2007-07-11,74
2007,07-RR-PAK-8725,3,6,4198604.0,3,2007-07-11,2007-07-11,74
2007,07-RR-PER-9532,2,12,895590.0,3,2007-08-22,2007-08-22,77
2007,07-RR-PER-9532,3,1,8696123.0,3,2007-08-22,2007-08-22,77
2007,07-RR-PHL-9602,6,27,82371.0,3,2007-07-03,2007-07-11,78
2007,07-RR-PHL-9602,3,5,855843.0,3,2007-07-03,2007-07-11,78
2007,07-RR-PRK-6552,2,10,3100000.0,3,2007-02-28,2007-02-28,26
2007,07-RR-PRK-6567,2,12,500000.0,3,2007-09-20,2007-09-20,26
2007,07-RR-PRK-6567,6,27,300000.0,3,2007-09-20,2007-09-20,26
2007,07-RR-PRK-6567,3,6,800000.0,3,2007-09-20,2007-09-20,26
2007,07-RR-PRK-6567,3,5,1400000.0,3,2007-09-20,2007-09-20,26
2007,07-RR-PSE-9383,5,22,2525949.0,3,2007-02-14,2007-03-20,73
2007,07-RR-RWA-10462,3,5,416325.0,3,2007-11-15,2007-11-16,81
2007,07-RR-SDN-10072,1,16,3000000.0,3,2007-05-01,2007-05-01,80
2007,07-RR-SDN-10075,1,19,1575000.0,3,2007-06-18,2007-06-18,80
2007,07-RR-SDN-10078,6,27,1620002.0,3,2007-08-07,2007-08-07,80
2007,07-RR-SDN-10078,3,5,1043283.0,3,2007-08-07,2007-08-07,80
2007,07-RR-SDN-10089,2,12,941163.0,3,2007-12-10,2007-12-14,80
