contributionYear,donorId,fundId,paidAmount,pledgedAmount
2013,163,87,532708,0
2013,183,27,33292000,0
2013,183,36,9463722,0
2013,183,45,1908396,0
2013,183,74,4651162,0
2013,183,80,37239200,0
2013,183,87,28977300,0
2013,183,88,77014064,0
2013,183,105,3826632,0
2013,208,45,200,0
2014,13,1,371040,0
2014,13,67,1881400,0
2014,13,87,4383984,0
2014,13,88,7009884,0
2014,22,27,6255700,0
2014,22,88,6276525,0
2014,35,108,4175016,0
2014,52,18,5549167,0
2014,52,55,1004049,0
2014,52,73,982912,0
2014,52,80,1868600,0
2014,52,87,5602588,0
2014,52,88,8316944,0
2014,52,105,3425895,0
2014,52,108,2342782,0
2014,63,87,1860600,0
2014,64,108,622665,0
2014,67,51,1239157,0
2014,67,55,2478314,0
2014,67,73,627500,0
2014,67,87,1255980,0
2014,67,88,1957850,0
2014,67,91,2478314,0
2014,67,105,2504600,0
2014,67,108,7456637,0
2014,80,73,130000,0
2014,81,51,500000,0
2014,81,55,500000,0
2014,81,91,1000000,0
2014,86,18,3988740,0
2014,86,27,4573990,0
2014,86,36,679347,0
2014,86,73,133689,0
2014,86,80,3211790,0
2014,86,87,4042340,0
2014,86,88,4020240,0
2014,98,1,6000000,0
2014,98,105,300000,0
2014,109,18,341525,0
2014,109,27,344025,0
2014,109,91,317662,0
2014,124,18,16688500,0
2014,124,27,4605263,0
2014,124,80,3154750,0
2014,124,87,1268400,0
2014,124,88,15665100,0
2014,124,105,2717391,0
2014,129,1,1340450,0
2014,129,18,4912781,0
2014,129,22,483932,0
2014,129,27,4640483,0
2014,129,36,688136,0
2014,129,80,9861370,0
2014,129,88,11378411,0
2014,129,108,2064409,0
2014,141,108,19999960,0
2014,158,22,317525,0
2014,158,73,317662,0
2014,158,91,1169786,0
2014,158,108,501336,0
2014,162,1,11970374,0
2014,162,18,3667225,0
2014,162,22,583000,0
2014,162,27,7933175,0
2014,162,36,3450492,0
2014,162,45,1457500,0
2014,162,51,660796,0
2014,162,55,660796,0
2014,162,67,728750,0
2014,162,73,2845150,0
2014,162,74,8665802,0
2014,162,80,10559474,0
2014,162,87,10660599,0
2014,162,88,33224824,0
2014,162,91,1321592,0
2014,162,105,4372500,0
2014,162,108,1982389,0
2014,163,18,1614796,0
2014,163,22,368421,0
2014,163,36,989010,0
2014,163,73,2711433,0
2014,163,80,1087686,0
2014,163,87,2039940,0
2014,163,88,2049511,0
2014,163,105,1013171,0
2014,163,108,1828456,0
2014,183,1,25881600,0
2014,183,18,1671681,0
2014,183,27,30622300,0
2014,183,36,14598517,0
2014,183,45,1659000,0
2014,183,67,1658503,0
2014,183,80,22346951,0
2014,183,87,10975300,0
2014,183,88,42510000,0
2014,183,105,7913519,0
2014,183,108,5329153,0
2014,185,1,1087230,0
2014,208,36,4108,0
2015,13,1,6143577,0
2015,13,67,1127385,0
2015,13,87,3594485,0
2015,13,88,7395964,0
2015,22,51,5745097,0
2015,22,55,6304381,0
2015,22,73,2796420,0
2015,22,88,2205832,0
2015,22,91,6304381,0
2015,22,108,5558568,0
2015,52,1,3116235,0
2015,52,18,1494985,0
2015,52,36,2928684,0
2015,52,55,741179,0
2015,52,80,5271673,0
2015,52,87,6948397,0
2015,52,88,2985306,0
2015,52,105,3009904,0
2015,64,108,552486,0
2015,67,1,1070300,0
2015,67,49,5538076,0
2015,67,73,1639344,0
2015,67,80,1091580,0
2015,67,87,1091580,0
2015,67,88,1091580,0
2015,67,91,1096491,0
2015,67,105,1118568,0
2015,80,55,750000,0
2015,81,91,1000000,0
2015,86,18,3255570,0
2015,86,27,3258270,0
2015,86,36,4088301,0
2015,86,49,1096491,0
2015,86,73,221238,0
2015,86,80,2712840,0
2015,86,87,3274140,0
2015,86,88,3255570,0
2015,86,105,1710739,0
2015,86,108,1096491,0
2015,88,88,550665,0
2015,98,1,200000,0
2015,98,91,500000,0
2015,98,105,200000,0
2015,100,91,2500000,0
2015,109,18,281452,0
2015,109,27,264450,0
2015,109,91,281375,0
2015,111,91,500000,0
2015,124,18,4429852,0
2015,124,27,2232000,0
2015,124,36,5291005,0
2015,124,49,20672682,0
2015,124,51,3174603,0
2015,124,55,10317460,0
2015,124,80,2218734,0
2015,124,88,5346500,0
2015,124,91,10553728,0
2015,124,105,13202048,0
2015,124,108,31661184,0
2015,129,1,1147927,0
2015,129,18,742746,0
2015,129,27,1237910,0
2015,129,73,593264,0
2015,129,80,6622430,0
2015,129,88,9074469,0
2015,129,91,2895536,0
