FileName,WeekNumber,Year,weekNumber,LinktoDocument,Capturedon
OEW52-2026122021.pdf,52,2021,52,https://apps.who.int/iris/bitstream/handle/10665/350957/OEW52-2026122021.pdf,2/8/2023
OEW51-1319122021.pdf,51,2021,51,https://apps.who.int/iris/bitstream/handle/10665/350880/OEW51-1319122021.pdf,2/8/2023
OEW50-0612122021.pdf,50,2021,50,https://apps.who.int/iris/bitstream/handle/10665/350534/OEW50-0612122021.pdf,2/8/2023
OEW49-291105122021.pdf,49,2021,49,https://apps.who.int/iris/bitstream/handle/10665/350196/OEW49-291105122021.pdf,2/8/2023
OEW48-2228112021.pdf,48,2021,48,https://apps.who.int/iris/bitstream/handle/10665/349801/OEW48-2228112021.pdf,2/8/2023
OEW47-1521112021.pdf,47,2021,47,https://apps.who.int/iris/bitstream/handle/10665/349343/OEW47-1521112021.pdf,2/8/2023
OEW46-0814112021.pdf,46,2021,46,http://apps.who.int/iris/bitstream/handle/10665/348840/OEW46-0814112021.pdf,2/8/2023
OEW45-0107112021.pdf,45,2021,45,https://apps.who.int/iris/bitstream/handle/10665/348305/OEW45-0107112021.pdf,2/8/2023
OEW44-2531102021.pdf,44,2021,44,https://apps.who.int/iris/bitstream/handle/10665/347690/OEW44-2531102021.pdf,2/8/2023
OEW43-1824102021.pdf,43,2021,43,https://apps.who.int/iris/bitstream/handle/10665/347061/OEW43-1824102021.pdf,2/8/2023
OEW42-1117102021.pdf,42,2021,42,https://apps.who.int/iris/bitstream/handle/10665/346680/OEW42-1117102021.pdf,2/8/2023
OEW41-0410102021.pdf,41,2021,41,https://apps.who.int/iris/bitstream/handle/10665/346225/OEW41-0410102021.pdf,2/8/2023
OEW40-270903102021.pdf,40,2021,40,https://apps.who.int/iris/bitstream/handle/10665/345876/OEW40-270903102021.pdf,2/8/2023
OEW39-2026092021.pdf,39,2021,39,https://apps.who.int/iris/bitstream/handle/10665/345479/OEW39-2026092021.pdf,2/8/2023
OEW38-1319092021.pdf,38,2021,38,https://apps.who.int/iris/bitstream/handle/10665/345306/OEW38-1319092021.pdf,2/8/2023
OEW37-0612092021.pdf,37,2021,37,https://apps.who.int/iris/bitstream/handle/10665/345180/OEW37-0612092021.pdf,2/8/2023
OEW36-300805092021.pdf,36,2021,36,https://apps.who.int/iris/bitstream/handle/10665/345001/OEW36-300805092021.pdf,2/8/2023
OEW35-2329082021.pdf,35,2021,35,https://apps.who.int/iris/bitstream/handle/10665/344613/OEW35-2329082021.pdf,2/8/2023
OEW34-1622082021.pdf,34,2021,34,https://apps.who.int/iris/bitstream/handle/10665/344445/OEW34-1622082021.pdf,2/8/2023
